Site,Locality,Source,latitude,longitude,collection-aprox,collection-year,collection-month
BROMS-Kothera,"Brookhaven, Lincoln County, MS","Kothera et al, 2009 (Ace2/microsatellites)",31.586,-90.452,8/1/2005-08/30/2005,2005,Aug
JACMS-Kothera,"Jackson, Heines County, MS","Kothera et al, 2009 (Ace2/microsatellites)",32.311,-90.174,8/1/2005-08/30/2005,2005,Aug
VAIMS-Kother,"Vaiden, Carrol County, MS","Kothera et al, 2009 (Ace2/microsatellites)",33.333,-89.753,8/1/2005-08/30/2005,2005,Aug
BATMS-Kothera,"Batesville, Panola County, MS","Kothera et al, 2009 (Ace2/microsatellites)",34.324,-89.945,8/1/2005-08/30/2005,2005,Aug
MEMTN-Kothera,"Memphis, Shelby County, TN (mixed sites)","Kothera et al, 2009 (Ace2/microsatellites)",35.077,-90.06,8/1/2005-08/30/2005,2005,Aug
BLYAR-Kothera,"Blytheville, Mississippi County, AR","Kothera et al, 2009 (Ace2/microsatellites)",35.94,-89.911,8/1/2005-08/30/2005,2005,Aug
SIKMO-Kothera,"Sikeston, Scott County, MO","Kothera et al, 2009 (Ace2/microsatellites)",36.882,-89.587,8/1/2005-08/30/2005,2005,Aug
BENIL-Kothera,"Benton, Franklin County, IL","Kothera et al, 2009 (Ace2/microsatellites)",38,-88.924,8/1/2005-08/30/2005,2005,Aug
EFFIL-Kothera,"Effingham, Effingham County, IL","Kothera et al, 2009 (Ace2/microsatellites)",39.118,-88.557,8/1/2005-08/30/2005,2005,Aug
CHAIL-Kothera,"Champaign, Champaign County, IL","Kothera et al, 2009 (Ace2/microsatellites)",40.117,-88.265,8/1/2005-08/30/2005,2005,Aug
FRECA-Cornel,"Fresno, CA (unkempt pool)","Cornel et al, 2003 (DV/D ratio)",36.833333,-120,5/1/2000,2000,May
CENCA-Cornel,"Centerville, CA (Kings River seepage)","Cornel et al, 2003 (DV/D ratio)",36.833333,-119.833333,6/1/2000,2000,Jun
REECA-Cornel,"Reedley, CA (Horse ranch trough)","Cornel et al, 2003 (DV/D ratio)",36.666667,-119.833333,8/1/2000,2000,Aug
CHICA-Urbanelli,"Chico, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",39.7,-121.79,9/29/1992,1992,Sep
OAKCA-Urbanelli,"Oakley, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",38,-121.738,9/14/1992,1992,Sep
ALACA-Urbanelli,"Alameda, CA","Urbanelli et al, 1997 (DV/D and allozymes, lat and long approximated because of lat error)",37.7,-122.3,9/4/1992,1992,Sep
NEWCA-Urbanelli,"Newman, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",37.3,-121.017,8/15/1992,1992,Aug
MADCA-Urbanelli,"Madera, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",36.85,-120.078,9/30/1992,1992,Sep
KERCA-Urbanelli,"Kerman, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",36.783,-120.066,10/8/1992,1992,Oct
VISCA-Urbanelli,"Visalia, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",36.333,-119.303,9/17/1992,1992,Sep
BAKCA-Urbanelli,"Bakersfield, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",35.416,-119.066,9/12/1992,1992,Sep
CHOCA-Urbanelli,"Chowchilla, CA","Urbanelli et al, 1997 (DV/D and allozymes, long approximated)",37.167,-120.25,10/15/1991,1991,Oct
FLOAL-Barr,"Flourence, AL","Barr, 1957 (DV/D, lat and long approximated)",34.82,-87.66,10/12/1954,1954,Oct
BULAR-Barr,"Bull Shoals, AR","Barr, 1957 (DV/D, lat and long approximated)",36.37,-92.59,7/1/1953,1953,Jul
STLMO-Barr,"St Louis, MO","Barr, 1957 (DV/D, lat and long approximated)",38.61,-90.26,8/26/1952,1952,Aug
SACCA-Barr,"Sacramento County, CA","Barr, 1957 (DV/D, lat and long approximated)",38.62,-121.45,9/23/1947,1947,Sep
SANJCA-Barr,"San Juaquin County, CA","Barr, 1957 (DV/D, lat and long approximated)",37.92,-121.31,9/23/1947,1947,Sep
STLIL-Barr,"St Louis East, IL","Barr, 1957 (DV/D, lat and long approximated)",38.64,-90.17,06/01/1944-08/30/1944,1944,Jun-Sep
LATCA-McAbee,"Laton, Fresno County, CA","McAbee et al, 2007 (Ace2, lat and long approximated from Fig 2)",36.427,-119.689,06/15/2005-10/15/2005,2005,Jun-Oct
ORACA-McAbee,"Orange Cove, Fresno County, CA","McAbee et al, 2007 (Ace2, lat and long approximated from Fig 2)",36.628,-119.306,06/15/2005-10/15/2005,2005,Jun-Oct
GORCA-McAbee,"Gordon, Fresno County, CA","McAbee et al, 2007 (Ace2, lat and long approximated from Fig 2)",36.895,-119.771,06/15/2005-10/15/2005,2005,Jun-Oct
SANJCA-McAbee,"San Juaquin, Fresno County, CA","McAbee et al, 2007 (Ace2, lat and long approximated from Fig 2)",36.609,-120.189,06/15/2005-10/15/2005,2005,Jun-Oct
