SampleID,PlateNo,Species,ACE2_genotype,Locality,Latitude,Longitude,GenePopID,GenePop
MIAFL006,#04,Culex quinquefasciatus,Cxq/Cxq,"North Miami Beach, Miami, Miami-Dade County, FL",25.93315,-80.16255,"MIAFL006,",002002
MIAFL007,#04,Culex quinquefasciatus,Cxq/Cxq,"North Miami Beach, Miami, Miami-Dade County, FL",25.93315,-80.16255,"MIAFL007,",002002
MIAFL008,#04,Culex quinquefasciatus,Cxq/Cxq,"North Miami Beach, Miami, Miami-Dade County, FL",25.93315,-80.16255,"MIAFL008,",002002
MIAFL009,#04,Culex quinquefasciatus,Cxq/Cxq,"North Miami Beach, Miami, Miami-Dade County, FL",25.93315,-80.16255,"MIAFL009,",002002
MIAFL011,#04,Culex quinquefasciatus,Cxq/Cxq,"Little River, Miami, Miami-Dade County, FL",25.8476,-80.19255,"MIAFL011,",002002
MIAFL012,#04,Culex quinquefasciatus,Cxq/Cxq,"Little River, Miami, Miami-Dade County, FL",25.8476,-80.19255,"MIAFL012,",002002
MIAFL013,#04,Culex quinquefasciatus,Cxq/Cxq,"Little River, Miami, Miami-Dade County, FL",25.8476,-80.19255,"MIAFL013,",002002
MIAFL014,#04,Culex quinquefasciatus,Cxq/Cxq,"Little River, Miami, Miami-Dade County, FL",25.8476,-80.19255,"MIAFL014,",002002
MIAFL015,#04,Culex quinquefasciatus,Cxq/Cxq,"Little River, Miami, Miami-Dade County, FL",25.8476,-80.19255,"MIAFL015,",002002
MIAFL016,#04,Culex quinquefasciatus,Cxq/Cxq,"South Beach Miami, Miami-Dade County, FL",25.70785,-80.29564,"MIAFL016,",002002
MIAFL017,#04,Culex quinquefasciatus,Cxq/Cxq,"South Beach Miami, Miami-Dade County, FL",25.70785,-80.29564,"MIAFL017,",002002
MIAFL018,#04_B,Culex quinquefasciatus,Cxq/Cxq,"South Beach Miami, Miami-Dade County, FL",25.70785,-80.29564,"MIAFL018,",002002
MIAFL019,#04_B,Culex quinquefasciatus,Cxq/Cxq,"South Beach Miami, Miami-Dade County, FL",25.70785,-80.29564,"MIAFL019,",002002
MIAFL020,#04_B,Culex quinquefasciatus,Cxq/Cxq,"South Beach Miami, Miami-Dade County, FL",25.70785,-80.29564,"MIAFL020,",002002
ROCMD001,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD001,",001001
ROCMD002,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD002,",001001
ROCMD003,#02,hybrid,Cxp/Cxq,"Rockville, MD",39.057753,-77.130547,"ROCMD003,",001002
ROCMD004,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD004,",001001
ROCMD005,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD005,",001001
ROCMD006,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD006,",001001
ROCMD007,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD007,",001001
ROCMD008,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD008,",001001
ROCMD009,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD009,",001001
ROCMD010,#02,Culex pipiens pipiens,Cxp/Cxp,"Rockville, MD",39.057753,-77.130547,"ROCMD010,",001001
